Bradley and Radebaugh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermal Conductivity (in W m-1 K-1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group,Metals,Metals,Metals,Marvel,Metals,Metals,Metals,Metals,Metals,Marvel,Metals,Marvel,Marvel,Metals,Marvel,Fibres,Fibres,Metals,Metals,Metals,Metals,Metals,Metals,Metals,Plastics,Plastics,Plastics,Plastics,Plastics,Plastics,Plastics,Plastics,Plastics,Plastics,Plastics,Plastics,Plastics,Metals,Metals,Metals,Metals,Metals,Plastics,Plastics,Metals,Metals,
Temp,Al_1100,Al_3003,Al_5083,Al_6061,Al_6063,Be,Be-Cu,Brass,Cu_RRR=50,Cu_RRR=100,Cu_RRR=300,G10_norm-dir,G10_warp-dir,Inconel_718,Invar(Fe-36Ni),Kevlar_Composite,Kevlar_Fiber,Pb,Mo,Fe-2.25 Ni,Fe-3.5 Ni,Fe-5.0 Ni,Fe-9.0 Ni,Platinum,Polyamide(Nylon),Polyethylene Terephthalate (Mylar),Polyimide(Kapton),Polystyrene(12.66 kg m-3),Polystyrene(32.04 kg m-3),Polystyrene(49.98 kg m-3),Polystyrene(99.96 kg m-3),Polyurethane(31.88 kg m-3),Polyurethane(32.04 kg m-3),Polyurethane(49.02 kg m-3),Polyurethane(64.08 kg m-3),PVC(20.02 kg m-3),PVC(56.06 kg m-3),SS_304,SS_304L,SS_310,SS_316,SS_735,Teflon,Torlon4203,Ti-6Al-4V,Ti 15-3-3-3
60,338,128.6,45.85,70.76,265.6,2968,30.42,33.36,670,741.2,801.8,0.2553,0.3366,5.784,5.005,0.6794,1.157,38.73,267.3,17.42,14.52,12.68,10.28,94.57,0.2619,0.1443,0.109,,0.007232,0.006644,0.01121,,,0.01465,0.00788,,,6.647,6.647,5.093,6.647,8.783,0.2203,0.09491,2.917,1.42
70,308.1,135.6,51.55,78.55,250,2243,34.08,37.26,561.1,603.6,638.5,0.2702,0.366,6.182,5.717,0.7555,1.323,37.7,233.7,19.67,16.47,14.39,11.79,87.02,0.2821,0.1526,0.1192,,0.008311,0.007031,0.01177,,,0.01575,0.008571,,,7.435,7.435,5.655,7.435,9.245,0.228,0.1014,3.291,1.655
80,283.3,140.6,56.81,85.56,235.4,1693,37.15,40.84,500.3,529.3,551,0.2837,0.3942,6.532,6.386,0.8269,1.482,36.98,207.9,21.71,18.25,15.98,13.21,82.32,0.2974,0.1567,0.128,,0.009382,0.007437,0.01239,0.01018,,0.01684,0.009551,,,8.114,8.114,6.135,8.114,9.65,0.2341,0.1079,3.531,1.881
90,264.1,144.4,61.71,91.91,223.2,1296,39.6,44.21,465.1,487,501,0.2965,0.4214,6.842,7.016,0.8943,1.634,36.51,188.6,23.56,19.89,17.44,14.55,79.09,0.3091,,0.1355,0.01265,0.01045,0.007868,0.01306,0.01115,,0.01792,0.01065,0.01652,,8.705,8.705,6.551,8.705,10.01,0.2391,0.1111,3.685,2.095
100,249.7,147.4,66.26,97.7,213.8,1014,41.41,47.45,443.9,461.5,471.1,0.3089,0.4477,7.119,7.611,0.9579,1.779,36.23,174.5,25.23,21.38,18.79,15.81,76.69,0.3179,,0.1419,0.01362,0.01151,0.008328,0.01378,0.01212,0.01206,0.019,0.01179,0.0168,0.02844,9.224,9.224,6.917,9.224,10.33,0.2434,0.1143,3.804,2.3
120,231.5,151.9,74.52,107.9,201.8,670,43.12,,421.8,434.8,440.6,0.3335,0.4978,7.587,8.702,1.075,2.05,36.03,156.8,28.14,24.01,21.19,18.09,73.37,0.3298,,0.1522,0.01567,0.01368,0.009344,0.01535,0.01399,0.01465,0.02117,0.01407,0.01799,0.02952,10.101,10.1,7.544,10.1,10.91,0.2505,0.1264,4.061,2.687
140,222.3,155.5,81.8,116.5,196.6,489.9,,,411.6,422.1,427.6,0.3586,0.545,7.962,9.671,1.18,2.297,36.02,147.9,30.56,26.23,23.24,20.07,71.39,0.3367,,0.1599,0.0179,0.01594,0.0105,0.01705,0.01574,0.01736,0.02336,0.01624,0.01931,0.03223,10.834,10.83,8.081,10.83,11.42,0.2562,0.1374,4.412,3.054
160,218.2,158.9,88.26,123.9,195.5,390.7,,,406,415,421.2,0.3846,0.5899,8.264,10.524,1.274,2.523,35.96,143.7,32.62,28.1,24.98,21.77,70.43,0.3405,,0.1659,0.02032,0.01829,0.0118,0.0189,0.01734,0.02005,0.02554,0.01827,0.02072,0.03503,11.479,11.48,8.568,11.48,11.89,0.2608,0.1477,4.846,3.412
180,216.4,162.2,94.04,130.4,196.6,333.3,,,402.6,410.3,417.5,0.4117,0.6328,8.51,11.27,1.359,2.729,35.78,142,34.36,29.69,26.47,23.23,70.27,0.3424,,0.1708,0.02293,0.02072,0.01325,0.02089,0.01881,0.02276,0.02765,0.02015,0.02232,0.03762,12.071,12.07,9.027,12.07,12.34,0.2644,0.1579,5.311,3.77
200,215.5,165.5,99.24,136,198.6,298,,,400.1,407,414.6,0.4399,0.6741,8.72,11.915,1.436,2.917,35.46,141.4,35.84,31.01,27.72,24.46,70.65,0.3431,,0.1749,0.02576,0.0232,0.01486,0.02309,0.02013,0.0255,0.02964,0.02184,0.02416,0.04015,12.633,12.63,9.473,12.63,12.77,0.2672,0.1684,5.75,4.133
220,214.8,168.6,104,141,200.5,274.2,,,398.2,404.2,411.8,0.4692,0.7141,8.912,12.464,1.507,3.09,35.1,141.2,37.06,32.1,28.78,25.49,71.25,0.3428,,0.1786,0.02881,0.02572,0.01662,0.02557,0.02125,0.02829,0.03144,0.02331,0.02628,0.04291,13.178,13.18,9.912,13.18,13.19,0.2692,0.18,6.129,4.505
240,213.9,171.5,108.3,145.3,201.9,255.5,,,396.5,401.9,408.8,0.4995,0.753,9.101,12.925,1.571,3.25,34.8,140.9,38.01,32.98,29.64,26.32,71.72,0.342,,0.182,0.0321,0.02826,0.01854,0.02845,0.0221,0.03112,0.03297,0.02452,0.02879,0.04609,13.714,13.71,10.35,13.71,13.61,0.2705,0.193,6.447,4.885
260,213,174.1,112.2,149.1,202.3,237.6,,,395,399.9,405.5,0.5307,0.7909,9.301,13.303,1.63,3.398,34.7,140.4,38.7,33.65,30.35,26.98,71.65,0.3406,,0.1853,0.03561,0.03082,0.02059,0.03185,0.02255,0.03401,0.03418,0.02541,0.03184,0.04972,14.247,14.25,10.78,14.25,14.01,0.2715,0.2083,6.74,5.27
280,212.1,176.2,115.9,152.4,201.8,217.9,,,393.6,398,401.8,0.5626,0.8278,9.528,13.604,1.685,3.536,34.95,139.6,39.09,34.13,30.9,27.48,70.66,0.3389,,0.1886,0.03934,0.03343,0.02278,0.03599,0.02248,0.03702,0.035,0.02595,0.03574,0.05366,14.779,14.78,11.21,14.78,14.22,0.2722,0.2263,7.075,5.658
300,211.8,177.8,119.3,155.3,200.5,194.9,,,392.4,396.3,397.9,0.5951,0.8636,9.793,13.835,1.735,3.664,,138.6,39.17,34.43,31.32,27.83,68.42,0.3368,0.1919,,0.04323,0.03615,0.02509,0.04112,0.02181,0.04027,0.0354,0.02608,0.04093,0.05756,15.309,15.31,11.63,15.31,15.01,0.2728,0.248,7.555,6.041
